id_number,Title flag,movie_name,year, budget , domestic , international ,rating,storytype,source,production_method,genre,sequel,Release Date,Director,Director FB Like,Actor 1 Name,Actor 1 FB Like,Actor 2 Name,Actor 2 FB Like,Actor 3 Name,Actor 3 FB Like,Total Cast FB Like,Movie FB Like,IMDB Score,directors_avg_bo,actor_1_avg_bo,actor_2_avg_bo,actor_3_avg_bo
284970100,0,12 Strong,2017,35000000,20088384,2500000.00,R,Historical Fiction,Fiction Book/Short Story,Live Action,Drama,0, , , , , , , , , , , , , ,,,
278830100,0,A Bad Moms Christmas,2017,28000000,72110659,55600000.00,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1, , , , , , , , , , , , , ,,,
229540100,0,American Made,2017,50000000,51342000,84239390.00,R,Dramatization,Factual Book/Real Events,Live Action,Thriller/Suspense,0, , , , , , , , , , , , , ,,,
244890100,0,Atomic Blonde,2017,30000000,51573925,45100000.00,R,Historical Fiction,Graphic Novel/Game,Live Action,Thriller/Suspense,0, , , , , , , , , , , , , ,,,
141370100,0,Baby Driver,2017,34000000,107816745,120495064.00,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0, , , , , , , , , , , , , ,,,
237430100,0,Baywatch,2017,60000000,58060186,118473384.00,R,Contemporary Fiction,TV,Live Action,Comedy,0, , , , , , , , , , , , , ,,,
226650100,0,Beauty and the Beast,2017,160000000,504014165,759095408.00,PG,Fantasy,Remake,Animation/Live Action,Musical,0,2009-11-04, , , , , , , , , , , , ,,,
225000100,0,Blade Runner 2049,2017,185000000,92014865,166923849.00,R,Science Fiction,Fiction Book/Short Story,Live Action,Thriller/Suspense,1, , , , , , , , , , , , , ,,,
209070100,0,Captain Underpants: The First Epic Movie,2017,38000000,73921000,49340024.00,PG,Kids Fiction,Original Screenplay,Animation,Adventure,0, , , , , , , , , , , , , ,,,
141730100,0,CHiPS,2017,25000000,18600152,4590545.00,R,Contemporary Fiction,TV,Live Action,Action,0, , , , , , , , , , , , , ,,,
175700100,0,Coco,2017,175000000,201147465,455200000.00,PG,Kids Fiction,Fiction Book/Short Story,Animation,Adventure,0,2009-07-21, , , , , , , , , , , , ,,,
280970100,0,Daddy's Home 2,2017,70000000,103585112,72300000.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1, , , , , , , , , , , , , ,,,
284400100,0,Den of Thieves,2017,30000000,19136849,1300000.00,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0, , , , , , , , , , , , , ,,,
202250100,0,Despicable Me 3,2017,75000000,264624300,769749508.00,PG,Kids Fiction,Original Screenplay,Animation,Adventure,1, , , , , , , , , , , , , ,,,
144800100,0,Downsizing,2017,68000000,24339861,13297482.00,R,Science Fiction,Original Screenplay,Live Action,Comedy,0, , , , , , , , , , , , , ,,,
240790100,0,Dunkirk,2017,150000000,188373161,316252837.00,PG-13,Dramatization,Original Screenplay,Live Action,Action,0, , , , , , , , , , , , , ,,,
274870100,0,"Everything, Everything",2017,10000000,34121140,11737190.00,PG-13,Contemporary Fiction,Fiction Book/Short Story,Live Action,Drama,0, , , , , , , , , , , , , ,,,
192300100,0,Ferdinand,2017,111000000,79456475,155688796.00,PG,Kids Fiction,Fiction Book/Short Story,Animation,Adventure,0, , , , , , , , , , , , , ,,,
264790100,0,Flatliners,2017,20000000,16877430,28192226.00,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,1, ,Joel Schumacher,541,Julia Roberts,8000,Oliver Platt,1000,Hope Davis,442,10493,0,6.6,61331411.5,97219462.89,99177543.6,15036069.25
207610100,0,Geostorm,2017,100000000,33700160,179200000.00,PG-13,Science Fiction,Original Screenplay,Live Action,Action,0, , , , , , , , , , , , , ,,,
222050100,0,Ghost in the Shell,2017,110000000,40563557,127355290.00,PG-13,Science Fiction,Graphic Novel/Game,Live Action,Action,0, , , , , , , , , , , , , ,,,
263170100,0,Girls Trip,2017,28000000,115108515,25640257.00,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0, , , , , , , , , , , , , ,,,
211440100,0,Guardians of the Galaxy Vol 2,2017,200000000,389813101,473384643.00,PG-13,Super Hero,Graphic Novel/Game,Live Action,Action,1, , , , , , , , , , , , , ,,,
264810100,0,It,2017,35000000,327481748,369977480.00,R,Historical Fiction,Remake,Live Action,Horror,0, , , , , , , , , , , , , ,,,
265280100,0,Jigsaw,2017,10000000,38052832,64600000.00,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1, , , , , , , , , , , , , ,,,
230410100,0,John Wick: Chapter Two,2017,40000000,92029184,79500000.00,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1, , , , , , , , , , , , , ,,,
213080100,0,Justice League,2017,300000000,227733120,427600000.00,PG-13,Super Hero,Graphic Novel/Game,Live Action,Action,0, , , , , , , , , , , , , ,,,
206470100,0,King Arthur: Legend of the Sword,2017,175000000,39175066,100837542.00,PG-13,Fantasy,Fiction Book/Short Story,Live Action,Adventure,0, , , , , , , , , , , , , ,,,
243120100,0,Kingsman: The Golden Circle,2017,104000000,100234838,308600000.00,R,Contemporary Fiction,Graphic Novel/Game,Live Action,Action,1, , , , , , , , , , , , , ,,,
282680100,0,Logan Lucky,2017,29000000,27778642,11433680.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0, , , , , , , , , , , , , ,,,
250110100,0,Marshall,2017,12000000,10051659,59774.00,PG-13,Dramatization,Factual Book/Real Events,Live Action,Drama,0, , , , , , , , , , , , , ,,,
235080100,0,Murder on the Orient Express,2017,55000000,102365263,247946947.00,PG-13,Historical Fiction,Remake,Live Action,Drama,0, , , , , , , , , , , , , ,,,
263270100,0,Only the Brave,2017,38000000,18324258,2412945.00,PG-13,Dramatization,Factual Book/Real Events,Live Action,Drama,0, , , , , , , , , , , , , ,,,
186210100,0,Pirates of the Caribbean: Dead Men Tell No Tales,2017,230000000,172558876,622200000.00,PG-13,Fantasy,Original Screenplay,Live Action,Adventure,1, , , , , , , , , , , , , ,,,
212770100,0,Power Rangers,2017,120000000,85364450,57000000.00,PG-13,Kids Fiction,TV,Live Action,Action,0, , , , , , , , , , , , , ,,,
298120100,0,"Roman J. Israel, Esq.",2017,22000000,11917581,,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0, , , , , , , , , , , , , ,,,
182010100,0,Smurfs: The Lost Village,2017,60000000,45153694,152247752.00,PG,Kids Fiction,Graphic Novel/Game,Animation,Adventure,1, , , , , , , , , , , , , ,,,
233010100,0,Snatched,2017,42000000,45852178,11999999.00,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0, , , , , , , , , , , , , ,,,
224140100,0,Spider-Man: Homecoming,2017,175000000,334198153,546005371.00,PG-13,Super Hero,Graphic Novel/Game,Live Action,Action,0, , , , , , , , , , , , , ,,,
285400100,0,Thank You for Your Service,2017,20000000,9479390,191524.00,R,Dramatization,Factual Book/Real Events,Live Action,Drama,0, , , , , , , , , , , , , ,,,
150620100,0,The Dark Tower,2017,60000000,50692621,60969470.00,PG-13,Science Fiction,Fiction Book/Short Story,Live Action,Western,1, , , , , , , , , , , , , ,,,
251040100,0,The Emoji Movie,2017,50000000,86087381,130530080.00,PG,Kids Fiction,Original Screenplay,Animation,Adventure,0, , , , , , , , , , , , , ,,,
289340100,0,The Foreigner,2017,35000000,34393507,106400000.00,R,Contemporary Fiction,Fiction Book/Short Story,Live Action,Action,0, , , , , , , , , , , , , ,,,
246610100,0,The Hitman's Bodyguard,2017,30000000,75468583,97310709.00,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0, , , , , , , , , , , , , ,,,
201840100,0,The Mummy,2017,195000000,80101125,330232201.00,PG-13,Historical Fiction,Fiction Book/Short Story,Live Action,Adventure,0, , , , , , , , , , , , , ,,,
283990100,0,The Post,2017,50000000,48544126,9660000.00,PG-13,Dramatization,Factual Book/Real Events,Live Action,Drama,0, , , , , , , , , , , , , ,,,
251050100,0,The Snowman,2017,35000000,6670765,36561515.00,R,Contemporary Fiction,Fiction Book/Short Story,Live Action,Thriller/Suspense,0,2009-11-19, , , , , , , , , , , , ,,,
198220100,0,The Star,2017,20000000,40715377,20732423.00,PG,Kids Fiction,Religious Text,Animation,Adventure,0, , , , , , , , , , , , , ,,,
218480100,0,Thor: Ragnarok,2017,180000000,313493611,536545118.00,PG-13,Super Hero,Graphic Novel/Game,Live Action,Action,1, , , , , , , , , , , , , ,,,
263300100,0,Transformers: The Last Knight,2017,217000000,130168683,473800000.00,PG-13,Science Fiction,TV,Animation/Live Action,Action,1, , , , , , , , , , , , , ,,,
291980100,0,Tyler Perry's Boo 2! A Madea Halloween,2017,20000000,47319572,560000.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1, , , , , , , , , , , , , ,,,
232890100,0,Valerian and the City of a Thousand Planets,2017,180000000,40479370,174636774.00,PG-13,Science Fiction,Graphic Novel/Game,Live Action,Adventure,0, , , , , , , , , , , , , ,,,
202190100,0,War for the Planet of the Apes,2017,152000000,146880162,343400000.00,PG-13,Science Fiction,Original Screenplay,Animation/Live Action,Action,1, , , , , , , , , , , , , ,,,
106850100,0,Wonder Woman,2017,150000000,412563408,404449407.00,PG-13,Super Hero,Graphic Novel/Game,Live Action,Action,0,2009-03-03, , , , , , , , , , , , ,,,
218070100,0,13 Hours: The Secret Soldiers of Benghazi,2016,50000000,52853219,16558151.00,R,Dramatization,Factual Book/Real Events,Live Action,Drama,0, , , , , , , , , , , , , ,,,
244750100,0,A Dog's Purpose,2016,25000000,64321890,134100000.00,PG,Contemporary Fiction,Fiction Book/Short Story,Live Action,Drama,0, , , , , , , , , , , , , ,,,
207180100,0,A Monster Calls,2016,43000000,3740823,42681243.00,PG-13,Fantasy,Fiction Book/Short Story,Live Action,Drama,0, , , , , , , , , , , , , ,,,
